"S#","Title","Location","date","Fatalities","Injured","Total_victims","Mental_health_issues","Race","Gender"
"1","Texas church mass shooting","TX","11/5/2017","26","20","46","No","White","M"
"2","Walmart shooting in suburban Denver","CO","11/1/2017","3","0","3","No","White","M"
"3","Edgewood businees park shooting","MD","10/18/2017","3","3","6","No","Black","M"
"4","Las Vegas Strip mass shooting","NV","10/1/2017","58","527","585","Unclear","White","M"
"5","San Francisco UPS shooting","CA","6/14/2017","3","2","5","Yes","Asian","M"
"6","Pennsylvania supermarket shooting","PA","6/7/2017","3","0","3","Unclear","White","M"
"7","Florida awning manufacturer shooting","FL","6/5/2017","5","0","5","Unclear","","M"
"8","Rural Ohio nursing home shooting","OH","5/12/2017","3","0","3","Yes","White","M"
"9","Fresno downtown shooting","CA","4/18/2017","3","0","3","Unclear","Black","M"
"10","Fort Lauderdale airport shooting","FL","1/6/2017","5","6","11","Yes","Latino","M"
"11","Cascade Mall shooting","WA","9/23/2016","5","0","5","Yes","","M"
"12","Baton Rouge police shooting","LA","7/17/2016","3","3","6","Yes","Black","M"
"13","Dallas police shooting","TX","7/7/2016","5","11","16","Unclear","Black","M"
"14","Orlando nightclub massacre","FL","6/12/2016","49","53","102","Unclear","Other","M"
"15","Ferguson, MO Drive by","MO","4/29/2016","0","4","4","Unknown","Unknown","Unknown"
"16","Forestville, Maryland Drive-by","MD","4/26/2016","1","4","5","Unknown","Unknown","Unknown"
"17","Halifax County, VA","VA","4/24/2016","0","6","6","Unknown","Black American or African American","Male"
"18","Tire-Slashing revenge escalation","MD","4/21/2016","0","4","4","Unknown","Black American or African American","Male"
"19","Chicago Rap video Shootout","IL","4/19/2016","1","4","5","Unknown","Unknown","Unknown"
"20","Texas family murder-suicide","TX","4/19/2016","4","0","4","Unknown","White American or European American","Male"
"21","Alabama highway random shooting","AL","4/19/2016","1","4","4","Yes","White American or European American","Male"
"22","Long Beach Street murder","CA","4/18/2016","0","3","4","Unknown","Unknown","Unknown"
"23","Albuquerque, NM House party shooting","NM","4/9/2016","0","4","4","Unknown","White American or European American","Male"
"24","Memphis, TN gas station shooting","TN","4/9/2016","0","4","4","Unknown","Unknown","Unknown"
"25","Chicago Birthday Party Bus Shooting","IL","4/7/2016","0","5","5","Unknown","Unknown","Unknown"
